10.0, 9/3/2019
9.0, 8/6/2018
9, 8/6/2018
8.1, 12/5/2017
8.0, 8/21/2017
7.1.2, 8/5/2019
7.1.1, 12/5/2016
7.1.0, 10/4/2016
7.1, 10/4/2016
7.0, 8/22/2016
6.0.1, 12/7/2015
6.0, 10/5/2015
5.1.1, 4/21/2015
5.1.0, 3/9/2015
5.1, 3/9/2015
5.0.2, 12/19/2014
5.0.1, 12/2/2014
5.0, 11/12/2014
4.4.4, 6/19/2014
4.4.3, 6/2/2014
4.4.2, 12/9/2013
4.4.1, 12/5/2013
4.4, 10/31/2013
4.3.1, 10/3/2013
4.3, 7/24/2013
4.2.2, 2/11/2013
4.2.1, 11/27/2012
4.2, 10/13/2012
4.1.2, 10/9/2012
4.1.1, 7/11/2012
4.1, 7/9/2012
4.0.4, 3/29/2012
4.0.3, 12/16/2011
4.0.2, 11/28/2011
4.0.1, 10/21/2011
4.0, 10/18/2011
3.2.6, 2/22/2011
3.2.3, 8/30/2011
3.2.2, 8/30/2011
3.2.1, 9/20/2011
3.2, 7/15/2011
3.1, 5/10/2011
3.0, 2/22/2011
2.3.7, 9/21/2011
2.3.6, 9/2/2011
2.3.5, 7/25/2011
2.3.4, 4/28/2011
2.3.3, 2/9/2011
2.3, 12/6/2010
2.2.3, 11/21/2011
2.2.2, 1/22/2011
2.2.1, 1/18/2011
2.2, 5/20/2010
2.1, 1/12/2010
2.0.1, 12/3/2009
2.0, 10/26/2009
1.6, 9/15/2009
1.5, 4/27/2009
1.1, 2/9/2009
1.0.0, 9/23/2008
1.0, 9/23/2008